Skier's Mass (low end) [kg],Skier's Mass (high end) [kg],Skier's Height (low end) [m],Skier's Height (high end) [m],Skier Code,Mz [Nm],My [Nm],230,231,250,251,270,271,290,291,310,311,330,331,350,351
-,-,-,-,-,5,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,13,-,-,A,8,29,0.75,0.75,0.75,0.75,0.75,-,-,-,-,-,-,-,-,-
14,17,-,-,B,11,40,1.00,0.75,0.75,0.75,0.75,0.75,0.75,-,-,-,-,-,-,-
18,21,-,-,C,14,52,1.50,1.25,1.25,1.25,1.25,1.00,1.00,-,-,-,-,-,-,-
22,25,-,-,D,17,64,2.00,1.75,1.75,1.50,1.50,1.50,1.50,1.25,1.25,-,-,-,-,-
26,30,-,-,E,20,75,2.50,2.25,2.25,2.00,2.00,1.75,1.75,1.50,1.50,1.50,1.50,-,-,-
31,35,-,-,F,23,87,3.00,2.75,2.75,2.50,2.50,2.25,2.25,2.00,2.00,1.75,1.75,1.75,1.75,-
36,41,-,-,G,27,102,-,3.50,3.50,3.00,3.00,2.75,2.75,2.50,2.50,2.25,2.25,2.00,2.00,-
42,48,-,1.48,H,31,120,-,-,-,3.50,3.50,3.00,3.00,3.00,3.00,2.75,2.75,2.50,2.50,-
49,57,1.49,1.57,I,37,141,-,-,-,4.50,4.50,4.00,4.00,3.50,3.50,3.50,3.50,3.00,3.00,-
58,66,1.58,1.66,J,43,165,-,-,-,5.50,5.50,5.00,5.00,4.50,4.50,4.00,4.00,3.50,3.50,3.00
67,78,1.67,1.78,K,50,194,-,-,-,6.50,6.50,6.00,6.00,5.50,5.50,5.00,5.00,4.50,4.50,4.00
79,94,1.79,1.94,L,58,229,-,-,-,7.50,7.50,7.00,7.00,6.50,6.50,6.00,6.00,5.50,5.50,5.00
95,-,1.95,-,M,67,271,-,-,-,-,-,8.50,8.50,8.00,8.00,7.00,7.00,6.50,6.50,6.00
-,-,-,-,N,78,320,-,-,-,-,-,10.00,10.00,9.50,9.50,8.50,8.50,8.00,8.00,7.50
-,-,-,-,O,91,380,-,-,-,-,-,11.50,11.50,11.00,11.00,10.00,10.00,9.50,9.50,9.00
-,-,-,-,-,105,452,-,-,-,-,-,-,-,-,-,12.00,12.00,11.00,11.00,10.50
-,-,-,-,-,121,520,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,137,588,-,-,-,-,-,-,-,-,-,-,-,-,-,-